324,934,657,823,451,765,943,532,654,867
569,456,345,319,724,235,986,978,121,232
232,435,645,756,766,321,434.789,845,909
823,453,567,243,745,934,237,845,129,878
834,907,604,590,120,340,452,608,902,451
470,249,693,528,347,823,767,889,234,232
340,654,923,980,450,357,286,352,421,512
436,642,748,853,732,802,701,346,953,789
342,346,237,122,753,766,835,285,874,123
483,323,538,567,824,892,342,247,239,421
342,644,963,753,745,625,223,134,853,863
345,223,745,455,922,120,673,334,978,361
323,231,635,909,900,778,456,263,634,956
654,923,980,450,357,286,352,421,512,127
436,642,748,853,732,802,701,346,953,789
342,346,237,122,753,766,835,285,874,123
483,323,538,567,824,892,342,247,239,421
342,644,123,823,789,452,986,978,121,232
321,642,864,893,469,350,247,127,673,523
421,310,768,668,345,678,325,738,231,810
538,567,824,892,342,323,658,321,483,412
528,102,835,769,837,513,287,126,450,109
500,599,179,306,832,857,441,835,441,901
830,348,680,694,544,193,341,519,650,108
923,801,597,439,414,850,805,597,230,892
136,698,462,780,711,638,620,383,966,103
270,104,387,130,727,150,655,314,595,200
485,169,765,279,137,500,378,235,923,554
472,595,854,864,945,879,604,168,551,170
671,864,195,179,795,366,496,102,484,206



